PROVEEDOR;REFERENCIA;COP METRO;USD METER;MUESTRARIO;T&C Traje 2P;T&C Traje 3P;T&C Pantalon;T&C Saco ;T&C Chaleco;T&C Camisa L2;PVC Traje 2;PVC Traje 3p;PVC PANTALON;PVC Saco;PVC Camisa;PVC Accesorios;PVP Traje 2P USD;PVP Traje 3P USD;PVP Pantalon USD;PVP Saco USD;PVP Camisa USD;PVP Accesorios USD;;;;;;;
DYSATEX;ART. 71-55;174846;52,98363636;LANIFICIO DE PRAY;0;0;0;642207,4;0;0;;0;;1800000;;;0;0;0;0;0;0;;;;;;;
DYSATEX;ART. 35-88;191105;57,91060606;LANIFICIO DE PRAY;0;0;0;673099,5;0;0;;0;;1800000;;;0;0;0;0;0;0;;;;;;;
DYSATEX;ART. 49 Y 50;167342;50,70969697;LANIFICIO DE PRAY;0;0;0;627949,8;0;0;;0;;1800000;;;0;0;0;0;0;0;;;;;;;
DYSATEX;ART. 38 / 42 / 44;222623;67,46151515;LANIFICIO DE PRAY;0;0;0;732983,7;0;0;;0;;1800000;;;0;0;0;0;0;0;;;;;;;
DYSATEX;ART. 31;235968;71,50545455;LANIFICIO DE PRAY;0;0;0;758339,2;0;0;;0;;1800000;;;0;0;0;0;0;0;;;;;;;
DYSATEX;ART. 248 / 35 / 72;247462;74,98848485;LANIFICIO DE PRAY;0;0;0;780177,8;0;0;;0;;1800000;;;0;0;0;0;0;0;;;;;;;
DYSATEX;48 Y 77;191105;57,91060606;LANIFICIO DE PRAY;0;0;0;673099,5;0;0;;0;;1800000;;;0;0;0;0;0;0;;;;;;;
DYSATEX;24 Y 25;222623;67,46151515;LANIFICIO DE PRAY;0;0;0;732983,7;0;0;;0;;1800000;;;0;0;0;0;0;0;;;;;;;
DYSATEX; 28 Y 41;235968;71,50545455;LANIFICIO DE PRAY;0;0;0;758339,2;0;0;;0;;1800000;;;0;0;0;0;0;0;;;;;;;
DYSATEX; 20 / 85 / 90;247462;74,98848485;LANIFICIO DE PRAY;0;0;0;780177,8;0;0;;0;;1800000;;;0;0;0;0;0;0;;;;;;;
DYSATEX;535 (FLANNEL);185202;56,12181818;VBC S'110;992646,4;1240808;330762,6;661883,8;258161,6;0;2750000;3575000;1125000;2062500;;;990;1287;346,5;742,5;0;0;;;;;;;
DYSATEX;486;198852;60,25818182;VBC S'110;1036326,4;1295408;348507,6;687818,8;269081,6;0;2750000;3575000;1125000;2062500;;;990;1287;346,5;742,5;0;0;;;;;;;
DYSATEX;5592;198852;60,25818182;VBC S'110;1036326,4;1295408;348507,6;687818,8;269081,6;0;2750000;3575000;1125000;2062500;;;990;1287;346,5;742,5;0;0;;;;;;;
DYSATEX;586;198852;60,25818182;VBC S'110;1036326,4;1295408;348507,6;687818,8;269081,6;0;2750000;3575000;1125000;2062500;;;990;1287;346,5;742,5;0;0;;;;;;;
DYSATEX;886;198852;60,25818182;VBC S'110;1036326,4;1295408;348507,6;687818,8;269081,6;0;2750000;3575000;1125000;2062500;;;990;1287;346,5;742,5;0;0;;;;;;;
DYSATEX;887;198852;60,25818182;VBC S'110;1036326,4;1295408;348507,6;687818,8;269081,6;0;2750000;3575000;1125000;2062500;;;990;1287;346,5;742,5;0;0;;;;;;;
DYSATEX;10;198852;60,25818182;VBC S'110;1036326,4;1295408;348507,6;687818,8;269081,6;0;2750000;3575000;1125000;2062500;;;990;1287;346,5;742,5;0;0;;;;;;;
DYSATEX;JACKET (21 MICRON);198852;60,25818182;VBC S'110;1036326,4;1295408;348507,6;687818,8;269081,6;0;2750000;3575000;1125000;2062500;;;990;1287;346,5;742,5;0;0;;;;;;;
DYSATEX;887;233978;70,90242424;VBC S'110;1148729,6;1435912;394171,4;754558,2;297182,4;0;2750000;3575000;1125000;2062500;;;990;1287;346,5;742,5;0;0;;;;;;;
DYSATEX;610;233978;70,90242424;VBC S'110;1148729,6;1435912;394171,4;754558,2;297182,4;0;2750000;3575000;1125000;2062500;;;990;1287;346,5;742,5;0;0;;;;;;;
DYSATEX;550;233978;70,90242424;VBC S'110;1148729,6;1435912;394171,4;754558,2;297182,4;0;2750000;3575000;1125000;2062500;;;990;1287;346,5;742,5;0;0;;;;;;;
DYSATEX;886;233978;70,90242424;VBC S'110;1148729,6;1435912;394171,4;754558,2;297182,4;0;2750000;3575000;1125000;2062500;;;990;1287;346,5;742,5;0;0;;;;;;;
DYSATEX;610;233978;70,90242424;VBC S'110;1148729,6;1435912;394171,4;754558,2;297182,4;0;2750000;3575000;1125000;2062500;;;990;1287;346,5;742,5;0;0;;;;;;;
DYSATEX;489;233978;70,90242424;VBC S'110;1148729,6;1435912;394171,4;754558,2;297182,4;0;2750000;3575000;1125000;2062500;;;990;1287;346,5;742,5;0;0;;;;;;;
DYSATEX;5599;233978;70,90242424;VBC S'110;1148729,6;1435912;394171,4;754558,2;297182,4;0;2750000;3575000;1125000;2062500;;;990;1287;346,5;742,5;0;0;;;;;;;
DYSATEX;549;233978;70,90242424;VBC S'110;1148729,6;1435912;394171,4;754558,2;297182,4;0;2750000;3575000;1125000;2062500;;;990;1287;346,5;742,5;0;0;;;;;;;
DYSATEX;874;233978;70,90242424;VBC S'110;1148729,6;1435912;394171,4;754558,2;297182,4;0;2750000;3575000;1125000;2062500;;;990;1287;346,5;742,5;0;0;;;;;;;
